Year,Indicator Name,Value,Indicator_Code,Value_original,Value_converted,was_whole_number
2012,"Out-of-pocket expenditure per capita, PPP (current international $)",177.0,IND_133,177.0,177.0,True
2011,"Out-of-pocket expenditure per capita, PPP (current international $)",168.0,IND_133,168.0,168.0,True
2010,"Out-of-pocket expenditure per capita, PPP (current international $)",166.0,IND_133,166.0,166.0,True
2009,"Out-of-pocket expenditure per capita, PPP (current international $)",166.0,IND_133,166.0,166.0,True
2008,"Out-of-pocket expenditure per capita, PPP (current international $)",145.0,IND_133,145.0,145.0,True
2007,"Out-of-pocket expenditure per capita, PPP (current international $)",119.0,IND_133,119.0,119.0,True
2006,"Out-of-pocket expenditure per capita, PPP (current international $)",101.0,IND_133,101.0,101.0,True
2005,"Out-of-pocket expenditure per capita, PPP (current international $)",92.0,IND_133,92.0,92.0,True
2004,"Out-of-pocket expenditure per capita, PPP (current international $)",89.0,IND_133,89.0,89.0,True
2003,"Out-of-pocket expenditure per capita, PPP (current international $)",69.0,IND_133,69.0,69.0,True
2002,"Out-of-pocket expenditure per capita, PPP (current international $)",79.0,IND_133,79.0,79.0,True
2001,"Out-of-pocket expenditure per capita, PPP (current international $)",77.0,IND_133,77.0,77.0,True
2000,"Out-of-pocket expenditure per capita, PPP (current international $)",71.0,IND_133,71.0,71.0,True
2021,Domestic private health expenditure (% of current health expenditure),49.22,IND_134,49.22,49.22,False
2020,Domestic private health expenditure (% of current health expenditure),49.36,IND_134,49.36,49.36,False
2019,Domestic private health expenditure (% of current health expenditure),51.33,IND_134,51.33,51.33,False
2018,Domestic private health expenditure (% of current health expenditure),52.81,IND_134,52.81,52.81,False
2017,Domestic private health expenditure (% of current health expenditure),56.06,IND_134,56.06,56.06,False
2016,Domestic private health expenditure (% of current health expenditure),56.01,IND_134,56.01,56.01,False
2015,Domestic private health expenditure (% of current health expenditure),54.67,IND_134,54.67,54.67,False
2014,Domestic private health expenditure (% of current health expenditure),54.06,IND_134,54.06,54.06,False
2013,Domestic private health expenditure (% of current health expenditure),53.94,IND_134,53.94,53.94,False
2012,Domestic private health expenditure (% of current health expenditure),57.4,IND_134,57.4,57.4,False
2011,Domestic private health expenditure (% of current health expenditure),56.95,IND_134,56.95,56.95,False
2010,Domestic private health expenditure (% of current health expenditure),58.4,IND_134,58.4,58.4,False
2009,Domestic private health expenditure (% of current health expenditure),58.19,IND_134,58.19,58.19,False
2008,Domestic private health expenditure (% of current health expenditure),55.92,IND_134,55.92,55.92,False
2007,Domestic private health expenditure (% of current health expenditure),50.4,IND_134,50.4,50.4,False
2006,Domestic private health expenditure (% of current health expenditure),46.56,IND_134,46.56,46.56,False
2005,Domestic private health expenditure (% of current health expenditure),46.52,IND_134,46.52,46.52,False
2004,Domestic private health expenditure (% of current health expenditure),46.79,IND_134,46.79,46.79,False
2003,Domestic private health expenditure (% of current health expenditure),43.86,IND_134,43.86,43.86,False
2002,Domestic private health expenditure (% of current health expenditure),46.35,IND_134,46.35,46.35,False
2001,Domestic private health expenditure (% of current health expenditure),46.71,IND_134,46.71,46.71,False
2000,Domestic private health expenditure (% of current health expenditure),45.46,IND_134,45.46,45.46,False
2021,Domestic private health expenditure per capita (current US$),82.0,IND_135,82.0,82.0,True
2020,Domestic private health expenditure per capita (current US$),78.0,IND_135,78.0,78.0,True
2019,Domestic private health expenditure per capita (current US$),82.0,IND_135,82.0,82.0,True
2018,Domestic private health expenditure per capita (current US$),84.0,IND_135,84.0,84.0,True
2017,Domestic private health expenditure per capita (current US$),82.0,IND_135,82.0,82.0,True
2016,Domestic private health expenditure per capita (current US$),83.0,IND_135,83.0,83.0,True
2015,Domestic private health expenditure per capita (current US$),80.0,IND_135,80.0,80.0,True
2014,Domestic private health expenditure per capita (current US$),73.0,IND_135,73.0,73.0,True
2013,Domestic private health expenditure per capita (current US$),73.0,IND_135,73.0,73.0,True
2012,Domestic private health expenditure per capita (current US$),64.0,IND_135,64.0,64.0,True
2011,Domestic private health expenditure per capita (current US$),66.0,IND_135,66.0,66.0,True
2010,Domestic private health expenditure per capita (current US$),62.0,IND_135,62.0,62.0,True
2009,Domestic private health expenditure per capita (current US$),57.0,IND_135,57.0,57.0,True
2008,Domestic private health expenditure per capita (current US$),51.0,IND_135,51.0,51.0,True
2007,Domestic private health expenditure per capita (current US$),37.0,IND_135,37.0,37.0,True
2006,Domestic private health expenditure per capita (current US$),30.0,IND_135,30.0,30.0,True
2005,Domestic private health expenditure per capita (current US$),26.0,IND_135,26.0,26.0,True
2004,Domestic private health expenditure per capita (current US$),24.0,IND_135,24.0,24.0,True
2003,Domestic private health expenditure per capita (current US$),19.0,IND_135,19.0,19.0,True
2002,Domestic private health expenditure per capita (current US$),20.0,IND_135,20.0,20.0,True
2001,Domestic private health expenditure per capita (current US$),19.0,IND_135,19.0,19.0,True
2000,Domestic private health expenditure per capita (current US$),20.0,IND_135,20.0,20.0,True
2021,"Domestic private health expenditure per capita, PPP (current international $)",300.0,IND_136,300.0,300.0,True
2020,"Domestic private health expenditure per capita, PPP (current international $)",277.0,IND_136,277.0,277.0,True
2019,"Domestic private health expenditure per capita, PPP (current international $)",287.0,IND_136,287.0,287.0,True
2018,"Domestic private health expenditure per capita, PPP (current international $)",272.0,IND_136,272.0,272.0,True
2017,"Domestic private health expenditure per capita, PPP (current international $)",253.0,IND_136,253.0,253.0,True
2016,"Domestic private health expenditure per capita, PPP (current international $)",262.0,IND_136,262.0,262.0,True
2015,"Domestic private health expenditure per capita, PPP (current international $)",242.0,IND_136,242.0,242.0,True
2014,"Domestic private health expenditure per capita, PPP (current international $)",215.0,IND_136,215.0,215.0,True
2013,"Domestic private health expenditure per capita, PPP (current international $)",218.0,IND_136,218.0,218.0,True
2012,"Domestic private health expenditure per capita, PPP (current international $)",196.0,IND_136,196.0,196.0,True
2011,"Domestic private health expenditure per capita, PPP (current international $)",186.0,IND_136,186.0,186.0,True
2010,"Domestic private health expenditure per capita, PPP (current international $)",182.0,IND_136,182.0,182.0,True
2009,"Domestic private health expenditure per capita, PPP (current international $)",181.0,IND_136,181.0,181.0,True
2008,"Domestic private health expenditure per capita, PPP (current international $)",160.0,IND_136,160.0,160.0,True
2007,"Domestic private health expenditure per capita, PPP (current international $)",134.0,IND_136,134.0,134.0,True
2006,"Domestic private health expenditure per capita, PPP (current international $)",115.0,IND_136,115.0,115.0,True
2005,"Domestic private health expenditure per capita, PPP (current international $)",105.0,IND_136,105.0,105.0,True
2004,"Domestic private health expenditure per capita, PPP (current international $)",102.0,IND_136,102.0,102.0,True
2003,"Domestic private health expenditure per capita, PPP (current international $)",80.0,IND_136,80.0,80.0,True
2002,"Domestic private health expenditure per capita, PPP (current international $)",91.0,IND_136,91.0,91.0,True
2001,"Domestic private health expenditure per capita, PPP (current international $)",88.0,IND_136,88.0,88.0,True
2000,"Domestic private health expenditure per capita, PPP (current international $)",80.0,IND_136,80.0,80.0,True
2023,Net migration,-28011.0,IND_137,-28011.0,-28011.0,True
2022,Net migration,-27435.0,IND_137,-27435.0,-27435.0,True
2021,Net migration,-29586.0,IND_137,-29586.0,-29586.0,True
2020,Net migration,-29875.0,IND_137,-29875.0,-29875.0,True
2019,Net migration,-28426.0,IND_137,-28426.0,-28426.0,True
2018,Net migration,-28607.0,IND_137,-28607.0,-28607.0,True
2017,Net migration,-22324.0,IND_137,-22324.0,-22324.0,True
2016,Net migration,-18388.0,IND_137,-18388.0,-18388.0,True
2015,Net migration,-29797.0,IND_137,-29797.0,-29797.0,True
2014,Net migration,-33672.0,IND_137,-33672.0,-33672.0,True
2013,Net migration,-37754.0,IND_137,-37754.0,-37754.0,True
2012,Net migration,-41955.0,IND_137,-41955.0,-41955.0,True
2011,Net migration,-90839.0,IND_137,-90839.0,-90839.0,True
2010,Net migration,-98060.0,IND_137,-98060.0,-98060.0,True
2009,Net migration,-81130.0,IND_137,-81130.0,-81130.0,True
2008,Net migration,-97144.0,IND_137,-97144.0,-97144.0,True
2007,Net migration,-109695.0,IND_137,-109695.0,-109695.0,True
2006,Net migration,-107045.0,IND_137,-107045.0,-107045.0,True
2005,Net migration,-118594.0,IND_137,-118594.0,-118594.0,True
2004,Net migration,-84795.0,IND_137,-84795.0,-84795.0,True
2003,Net migration,-107573.0,IND_137,-107573.0,-107573.0,True
2002,Net migration,-105718.0,IND_137,-105718.0,-105718.0,True
2001,Net migration,19273.0,IND_137,19273.0,19273.0,True
2000,Net migration,123894.0,IND_137,123894.0,123894.0,True
1999,Net migration,138799.0,IND_137,138799.0,138799.0,True
1998,Net migration,150724.0,IND_137,150724.0,150724.0,True
1997,Net migration,135636.0,IND_137,135636.0,135636.0,True
1996,Net migration,127236.0,IND_137,127236.0,127236.0,True
1995,Net migration,117416.0,IND_137,117416.0,117416.0,True
1994,Net migration,8323.0,IND_137,8323.0,8323.0,True
1993,Net migration,36232.0,IND_137,36232.0,36232.0,True
1992,Net migration,88542.0,IND_137,88542.0,88542.0,True
1991,Net migration,-1047.0,IND_137,-1047.0,-1047.0,True
1990,Net migration,-195736.0,IND_137,-195736.0,-195736.0,True
1989,Net migration,-33305.0,IND_137,-33305.0,-33305.0,True
1988,Net migration,-58415.0,IND_137,-58415.0,-58415.0,True
1987,Net migration,-63105.0,IND_137,-63105.0,-63105.0,True
1986,Net migration,-26460.0,IND_137,-26460.0,-26460.0,True
1985,Net migration,-80950.0,IND_137,-80950.0,-80950.0,True
1984,Net migration,-225450.0,IND_137,-225450.0,-225450.0,True
1983,Net migration,-209362.0,IND_137,-209362.0,-209362.0,True
1982,Net migration,-163987.0,IND_137,-163987.0,-163987.0,True
1981,Net migration,-89824.0,IND_137,-89824.0,-89824.0,True
1980,Net migration,-63541.0,IND_137,-63541.0,-63541.0,True
1979,Net migration,-57683.0,IND_137,-57683.0,-57683.0,True
1978,Net migration,-50189.0,IND_137,-50189.0,-50189.0,True
1977,Net migration,-45383.0,IND_137,-45383.0,-45383.0,True
1976,Net migration,-41258.0,IND_137,-41258.0,-41258.0,True
1975,Net migration,-37475.0,IND_137,-37475.0,-37475.0,True
1974,Net migration,-33979.0,IND_137,-33979.0,-33979.0,True
1973,Net migration,-30582.0,IND_137,-30582.0,-30582.0,True
1972,Net migration,-27071.0,IND_137,-27071.0,-27071.0,True
1971,Net migration,-22021.0,IND_137,-22021.0,-22021.0,True
1970,Net migration,-16299.0,IND_137,-16299.0,-16299.0,True
1969,Net migration,-10152.0,IND_137,-10152.0,-10152.0,True
1968,Net migration,-7163.0,IND_137,-7163.0,-7163.0,True
1967,Net migration,-6696.0,IND_137,-6696.0,-6696.0,True
1966,Net migration,-6794.0,IND_137,-6794.0,-6794.0,True
1965,Net migration,-7249.0,IND_137,-7249.0,-7249.0,True
1964,Net migration,-7614.0,IND_137,-7614.0,-7614.0,True
1963,Net migration,-8118.0,IND_137,-8118.0,-8118.0,True
1962,Net migration,-8909.0,IND_137,-8909.0,-8909.0,True
1961,Net migration,-10144.0,IND_137,-10144.0,-10144.0,True
1960,Net migration,-12610.0,IND_137,-12610.0,-12610.0,True
2023,Refugee population by country or territory of asylum,377.0,IND_138,377.0,377.0,True
2022,Refugee population by country or territory of asylum,504.0,IND_138,504.0,504.0,True
2021,Refugee population by country or territory of asylum,907.0,IND_138,907.0,907.0,True
2020,Refugee population by country or territory of asylum,1008.0,IND_138,1008.0,1008.0,True
2019,Refugee population by country or territory of asylum,1041.0,IND_138,1041.0,1041.0,True
2018,Refugee population by country or territory of asylum,796.0,IND_138,796.0,796.0,True
2017,Refugee population by country or territory of asylum,820.0,IND_138,820.0,820.0,True
2016,Refugee population by country or territory of asylum,602.0,IND_138,602.0,602.0,True
2015,Refugee population by country or territory of asylum,781.0,IND_138,781.0,781.0,True
2014,Refugee population by country or territory of asylum,508.0,IND_138,508.0,508.0,True
2013,Refugee population by country or territory of asylum,143.0,IND_138,143.0,143.0,True
2012,Refugee population by country or territory of asylum,109.0,IND_138,109.0,109.0,True
2011,Refugee population by country or territory of asylum,187.0,IND_138,187.0,187.0,True
2010,Refugee population by country or territory of asylum,224.0,IND_138,224.0,224.0,True
2009,Refugee population by country or territory of asylum,251.0,IND_138,251.0,251.0,True
2008,Refugee population by country or territory of asylum,271.0,IND_138,271.0,271.0,True
2007,Refugee population by country or territory of asylum,184.0,IND_138,184.0,184.0,True
2006,Refugee population by country or territory of asylum,162.0,IND_138,162.0,162.0,True
2005,Refugee population by country or territory of asylum,106.0,IND_138,106.0,106.0,True
2004,Refugee population by country or territory of asylum,60.0,IND_138,60.0,60.0,True
2003,Refugee population by country or territory of asylum,26.0,IND_138,26.0,26.0,True
2002,Refugee population by country or territory of asylum,22.0,IND_138,22.0,22.0,True
2001,Refugee population by country or territory of asylum,13.0,IND_138,13.0,13.0,True
2000,Refugee population by country or territory of asylum,12.0,IND_138,12.0,12.0,True
1999,Refugee population by country or territory of asylum,18.0,IND_138,18.0,18.0,True
1998,Refugee population by country or territory of asylum,25.0,IND_138,25.0,25.0,True
1997,Refugee population by country or territory of asylum,21.0,IND_138,21.0,21.0,True
1996,Refugee population by country or territory of asylum,11.0,IND_138,11.0,11.0,True
1995,Refugee population by country or territory of asylum,12.0,IND_138,12.0,12.0,True
1994,Refugee population by country or territory of asylum,11.0,IND_138,11.0,11.0,True
1993,Refugee population by country or territory of asylum,19.0,IND_138,19.0,19.0,True
1992,Refugee population by country or territory of asylum,21.0,IND_138,21.0,21.0,True
1991,Refugee population by country or territory of asylum,15.0,IND_138,15.0,15.0,True
2023,Refugee population by country or territory of origin,145319.0,IND_139,145319.0,145319.0,True
2022,Refugee population by country or territory of origin,148144.0,IND_139,148144.0,148144.0,True
2021,Refugee population by country or territory of origin,151112.0,IND_139,151112.0,151112.0,True
2020,Refugee population by country or territory of origin,142664.0,IND_139,142664.0,142664.0,True
2019,Refugee population by country or territory of origin,110341.0,IND_139,110341.0,110341.0,True
2018,Refugee population by country or territory of origin,113955.0,IND_139,113955.0,113955.0,True
2017,Refugee population by country or territory of origin,115632.0,IND_139,115632.0,115632.0,True
2016,Refugee population by country or territory of origin,117472.0,IND_139,117472.0,117472.0,True
2015,Refugee population by country or territory of origin,121427.0,IND_139,121427.0,121427.0,True
2014,Refugee population by country or territory of origin,121991.0,IND_139,121991.0,121991.0,True
2013,Refugee population by country or territory of origin,123074.0,IND_139,123074.0,123074.0,True
2012,Refugee population by country or territory of origin,132720.0,IND_139,132720.0,132720.0,True
2011,Refugee population by country or territory of origin,136602.0,IND_139,136602.0,136602.0,True
2010,Refugee population by country or territory of origin,141064.0,IND_139,141064.0,141064.0,True
2009,Refugee population by country or territory of origin,145711.0,IND_139,145711.0,145711.0,True
2008,Refugee population by country or territory of origin,137742.0,IND_139,137742.0,137742.0,True
2007,Refugee population by country or territory of origin,134945.0,IND_139,134945.0,134945.0,True
2006,Refugee population by country or territory of origin,116948.0,IND_139,116948.0,116948.0,True
2005,Refugee population by country or territory of origin,108132.0,IND_139,108132.0,108132.0,True
2004,Refugee population by country or territory of origin,114050.0,IND_139,114050.0,114050.0,True
2003,Refugee population by country or territory of origin,122005.0,IND_139,122005.0,122005.0,True
2002,Refugee population by country or territory of origin,133240.0,IND_139,133240.0,133240.0,True
2001,Refugee population by country or territory of origin,122414.0,IND_139,122414.0,122414.0,True
2000,Refugee population by country or territory of origin,124156.0,IND_139,124156.0,124156.0,True
1999,Refugee population by country or territory of origin,116698.0,IND_139,116698.0,116698.0,True
1998,Refugee population by country or territory of origin,114971.0,IND_139,114971.0,114971.0,True
1997,Refugee population by country or territory of origin,122277.0,IND_139,122277.0,122277.0,True
1996,Refugee population by country or territory of origin,109576.0,IND_139,109576.0,109576.0,True
1995,Refugee population by country or territory of origin,107587.0,IND_139,107587.0,107587.0,True
1994,Refugee population by country or territory of origin,114454.0,IND_139,114454.0,114454.0,True
1993,Refugee population by country or territory of origin,91837.0,IND_139,91837.0,91837.0,True
1992,Refugee population by country or territory of origin,128115.0,IND_139,128115.0,128115.0,True
1991,Refugee population by country or territory of origin,209349.0,IND_139,209349.0,209349.0,True
1990,Refugee population by country or territory of origin,208271.0,IND_139,208271.0,208271.0,True
1989,Refugee population by country or territory of origin,7692.0,IND_139,7692.0,7692.0,True
1988,Refugee population by country or territory of origin,3388.0,IND_139,3388.0,3388.0,True
1987,Refugee population by country or territory of origin,219.0,IND_139,219.0,219.0,True
1986,Refugee population by country or territory of origin,315.0,IND_139,315.0,315.0,True
1985,Refugee population by country or territory of origin,160.0,IND_139,160.0,160.0,True
2015,"International migrant stock, total",38706.0,IND_140,38706.0,38706.0,True
2010,"International migrant stock, total",38959.0,IND_140,38959.0,38959.0,True
2005,"International migrant stock, total",39526.0,IND_140,39526.0,39526.0,True
2000,"International migrant stock, total",40132.0,IND_140,40132.0,40132.0,True
1995,"International migrant stock, total",40841.0,IND_140,40841.0,40841.0,True
1990,"International migrant stock, total",41561.0,IND_140,41561.0,41561.0,True
1985,"International migrant stock, total",494578.0,IND_140,494578.0,494578.0,True
1980,"International migrant stock, total",661917.0,IND_140,661917.0,661917.0,True
1975,"International migrant stock, total",885875.0,IND_140,885875.0,885875.0,True
1970,"International migrant stock, total",1085423.0,IND_140,1085423.0,1085423.0,True
1965,"International migrant stock, total",1026891.0,IND_140,1026891.0,1026891.0,True
1960,"International migrant stock, total",1005317.0,IND_140,1005317.0,1005317.0,True
2015,International migrant stock (% of population),0.186850018416597,IND_141,0.186850018416597,0.186850018416597,False
2010,International migrant stock (% of population),0.192853810683187,IND_141,0.192853810683187,0.192853810683187,False
2005,International migrant stock (% of population),0.202423323575265,IND_141,0.202423323575265,0.202423323575265,False
2000,International migrant stock (% of population),0.213652815239985,IND_141,0.213652815239985,0.213652815239985,False
1995,International migrant stock (% of population),0.223805493457384,IND_141,0.223805493457384,0.223805493457384,False
1990,International migrant stock (% of population),0.239809813928564,IND_141,0.239809813928564,0.239809813928564,False
2022,Prevalence of undernourishment (% of population),4.1,IND_142,4.1,4.1,False
2021,Prevalence of undernourishment (% of population),3.8,IND_142,3.8,3.8,False
2020,Prevalence of undernourishment (% of population),3.8,IND_142,3.8,3.8,False
2019,Prevalence of undernourishment (% of population),4.0,IND_142,4.0,4.0,True
2018,Prevalence of undernourishment (% of population),4.2,IND_142,4.2,4.2,False
2017,Prevalence of undernourishment (% of population),4.0,IND_142,4.0,4.0,True
2016,Prevalence of undernourishment (% of population),4.3,IND_142,4.3,4.3,False
2015,Prevalence of undernourishment (% of population),5.2,IND_142,5.2,5.2,False
2014,Prevalence of undernourishment (% of population),6.6,IND_142,6.6,6.6,False
2013,Prevalence of undernourishment (% of population),7.9,IND_142,7.9,7.9,False
2012,Prevalence of undernourishment (% of population),9.3,IND_142,9.3,9.3,False
2011,Prevalence of undernourishment (% of population),10.1,IND_142,10.1,10.1,False
2010,Prevalence of undernourishment (% of population),10.5,IND_142,10.5,10.5,False
2009,Prevalence of undernourishment (% of population),10.2,IND_142,10.2,10.2,False
2008,Prevalence of undernourishment (% of population),11.0,IND_142,11.0,11.0,True
2007,Prevalence of undernourishment (% of population),12.0,IND_142,12.0,12.0,True
2006,Prevalence of undernourishment (% of population),13.4,IND_142,13.4,13.4,False
2005,Prevalence of undernourishment (% of population),14.1,IND_142,14.1,14.1,False
2004,Prevalence of undernourishment (% of population),15.1,IND_142,15.1,15.1,False
2003,Prevalence of undernourishment (% of population),15.7,IND_142,15.7,15.7,False
2002,Prevalence of undernourishment (% of population),16.0,IND_142,16.0,16.0,True
2001,Prevalence of undernourishment (% of population),16.6,IND_142,16.6,16.6,False
2022,Prevalence of moderate or severe food insecurity in the population (%),11.4,IND_143,11.4,11.4,False
2021,Prevalence of moderate or severe food insecurity in the population (%),10.9,IND_143,10.9,10.9,False
2020,Prevalence of moderate or severe food insecurity in the population (%),10.0,IND_143,10.0,10.0,True
2019,Prevalence of moderate or severe food insecurity in the population (%),8.9,IND_143,8.9,8.9,False
2018,Prevalence of moderate or severe food insecurity in the population (%),7.6,IND_143,7.6,7.6,False
2017,Prevalence of moderate or severe food insecurity in the population (%),6.5,IND_143,6.5,6.5,False
2016,Prevalence of moderate or severe food insecurity in the population (%),5.8,IND_143,5.8,5.8,False
2015,Prevalence of moderate or severe food insecurity in the population (%),5.9,IND_143,5.9,5.9,False
2016,Consumption of iodized salt (% of households),96.9,IND_144,96.9,96.9,False
2010,Consumption of iodized salt (% of households),95.3,IND_144,95.3,95.3,False
2007,Consumption of iodized salt (% of households),92.7,IND_144,92.7,92.7,False
2000,Consumption of iodized salt (% of households),88.0,IND_144,88.0,88.0,True
2022,Prevalence of severe food insecurity in the population (%),1.2,IND_145,1.2,1.2,False
2021,Prevalence of severe food insecurity in the population (%),1.2,IND_145,1.2,1.2,False
2020,Prevalence of severe food insecurity in the population (%),1.1,IND_145,1.1,1.1,False
2019,Prevalence of severe food insecurity in the population (%),0.9,IND_145,0.9,0.9,False
2018,Prevalence of severe food insecurity in the population (%),0.7,IND_145,0.7,0.7,False
2017,Prevalence of severe food insecurity in the population (%),0.6,IND_145,0.6,0.6,False
2016,Prevalence of severe food insecurity in the population (%),0.6,IND_145,0.6,0.6,False
2015,Prevalence of severe food insecurity in the population (%),0.7,IND_145,0.7,0.7,False
2022,"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.122,IND_146,15.122,15.122,False
2021,"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.401,IND_146,15.401,15.401,False
2020,"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.465,IND_146,15.465,15.465,False
2019,"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.602,IND_146,15.602,15.602,False
2018,"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.778,IND_146,15.778,15.778,False
2017,"Adolescent fertility rate (births per 1,000 women ages 15-19)",16.218,IND_146,16.218,16.218,False
2016,"Adolescent fertility rate (births per 1,000 women ages 15-19)",16.485,IND_146,16.485,16.485,False
2015,"Adolescent fertility rate (births per 1,000 women ages 15-19)",17.041,IND_146,17.041,17.041,False
2014,"Adolescent fertility rate (births per 1,000 women ages 15-19)",18.08,IND_146,18.08,18.08,False
2013,"Adolescent fertility rate (births per 1,000 women ages 15-19)",19.785,IND_146,19.785,19.785,False
2012,"Adolescent fertility rate (births per 1,000 women ages 15-19)",20.875,IND_146,20.875,20.875,False
2011,"Adolescent fertility rate (births per 1,000 women ages 15-19)",21.316,IND_146,21.316,21.316,False
2010,"Adolescent fertility rate (births per 1,000 women ages 15-19)",21.712,IND_146,21.712,21.712,False
2009,"Adolescent fertility rate (births per 1,000 women ages 15-19)",21.564,IND_146,21.564,21.564,False
2008,"Adolescent fertility rate (births per 1,000 women ages 15-19)",20.864,IND_146,20.864,20.864,False
2007,"Adolescent fertility rate (births per 1,000 women ages 15-19)",21.706,IND_146,21.706,21.706,False
2006,"Adolescent fertility rate (births per 1,000 women ages 15-19)",22.235,IND_146,22.235,22.235,False
2005,"Adolescent fertility rate (births per 1,000 women ages 15-19)",24.289,IND_146,24.289,24.289,False
2004,"Adolescent fertility rate (births per 1,000 women ages 15-19)",26.33,IND_146,26.33,26.33,False
2003,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27.838,IND_146,27.838,27.838,False
2002,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.29,IND_146,29.29,29.29,False
2001,"Adolescent fertility rate (births per 1,000 women ages 15-19)",30.212,IND_146,30.212,30.212,False
2000,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.844,IND_146,29.844,29.844,False
1999,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.917,IND_146,28.917,28.917,False
1998,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27.759,IND_146,27.759,27.759,False
1997,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.134,IND_146,28.134,28.134,False
1996,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.339,IND_146,28.339,28.339,False
1995,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.03,IND_146,29.03,29.03,False
1994,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.844,IND_146,28.844,28.844,False
1993,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.239,IND_146,28.239,28.239,False
1992,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.185,IND_146,28.185,28.185,False
1991,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.567,IND_146,28.567,28.567,False
1990,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.717,IND_146,29.717,29.717,False
1989,"Adolescent fertility rate (births per 1,000 women ages 15-19)",30.675,IND_146,30.675,30.675,False
1988,"Adolescent fertility rate (births per 1,000 women ages 15-19)",30.105,IND_146,30.105,30.105,False
1987,"Adolescent fertility rate (births per 1,000 women ages 15-19)",31.656,IND_146,31.656,31.656,False
1986,"Adolescent fertility rate (births per 1,000 women ages 15-19)",33.157,IND_146,33.157,33.157,False
1985,"Adolescent fertility rate (births per 1,000 women ages 15-19)",33.713,IND_146,33.713,33.713,False
1984,"Adolescent fertility rate (births per 1,000 women ages 15-19)",34.839,IND_146,34.839,34.839,False
1983,"Adolescent fertility rate (births per 1,000 women ages 15-19)",35.926,IND_146,35.926,35.926,False
1982,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.839,IND_146,37.839,37.839,False
1981,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.27,IND_146,37.27,37.27,False
1980,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.457,IND_146,37.457,37.457,False
1979,"Adolescent fertility rate (births per 1,000 women ages 15-19)",41.052,IND_146,41.052,41.052,False
1978,"Adolescent fertility rate (births per 1,000 women ages 15-19)",39.148,IND_146,39.148,39.148,False
1977,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.51,IND_146,37.51,37.51,False
1976,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.494,IND_146,37.494,37.494,False
1975,"Adolescent fertility rate (births per 1,000 women ages 15-19)",36.243,IND_146,36.243,36.243,False
1974,"Adolescent fertility rate (births per 1,000 women ages 15-19)",36.65,IND_146,36.65,36.65,False
1973,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.501,IND_146,37.501,37.501,False
1972,"Adolescent fertility rate (births per 1,000 women ages 15-19)",38.945,IND_146,38.945,38.945,False
1971,"Adolescent fertility rate (births per 1,000 women ages 15-19)",42.383,IND_146,42.383,42.383,False
1970,"Adolescent fertility rate (births per 1,000 women ages 15-19)",45.596,IND_146,45.596,45.596,False
1969,"Adolescent fertility rate (births per 1,000 women ages 15-19)",46.631,IND_146,46.631,46.631,False
1968,"Adolescent fertility rate (births per 1,000 women ages 15-19)",49.454,IND_146,49.454,49.454,False
1967,"Adolescent fertility rate (births per 1,000 women ages 15-19)",49.86,IND_146,49.86,49.86,False
1966,"Adolescent fertility rate (births per 1,000 women ages 15-19)",49.895,IND_146,49.895,49.895,False
1965,"Adolescent fertility rate (births per 1,000 women ages 15-19)",52.642,IND_146,52.642,52.642,False
1964,"Adolescent fertility rate (births per 1,000 women ages 15-19)",55.831,IND_146,55.831,55.831,False
1963,"Adolescent fertility rate (births per 1,000 women ages 15-19)",61.007,IND_146,61.007,61.007,False
1962,"Adolescent fertility rate (births per 1,000 women ages 15-19)",64.743,IND_146,64.743,64.743,False
1961,"Adolescent fertility rate (births per 1,000 women ages 15-19)",68.959,IND_146,68.959,68.959,False
1960,"Adolescent fertility rate (births per 1,000 women ages 15-19)",70.963,IND_146,70.963,70.963,False
2022,"Mortality rate, adult, female (per 1,000 female adults)",65.45,IND_147,65.45,65.45,False
2021,"Mortality rate, adult, female (per 1,000 female adults)",67.648,IND_147,67.648,67.648,False
2020,"Mortality rate, adult, female (per 1,000 female adults)",65.98,IND_147,65.98,65.98,False
